Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
,Token Engineering Ltd,F.5 / HKCEE,All Engineering,Engineering / Electrical / Electronics,"['Administration / Secretary (Clerical / Admin Staff)', 'Administration / Secretary (Others)', 'Engineering (Others)']",工程文員,General,Tsuen Wan District,Posting Date: 2020-09-10,--,2-3
,Alltronics Tech. Mftg Limited,Diploma,All Engineering,Manufacturing / Industrial,"['Engineering (Engineering Project Management)', 'Manufacturing (Manufacturing Management)']",Electronics Project Engineer/Manager,,,Posting Date: 2020-09-10,--,10 or above
"['', 'Medical Insurance']",DMC Gas Equipment Limited,Bachelor,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Engineering Project Management)', 'Engineering (Mechanical)', 'Sales (Sales Engineer / Technical Sales)']",Sales & Marketing Manager / Assistant Manager,General,Kwai Tsing District / Kwai Fong,Posting Date: 2020-09-10,--,--
"['', 'Medical Insurance']",DMC Gas Equipment Limited,Diploma,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Engineering Project Management)', 'Engineering (Mechanical)', 'Engineering (Others)', 'Fresh Graduate (Fresh Graduate)']",Assistant Engineer / Technician,General,Kwai Tsing District / Kwai Fong,Posting Date: 2020-09-10,--,--
"['', 'Medical Insurance']",DMC Gas Equipment Limited,Associate Degree / Higher Diploma,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Engineering Project Management)', 'Engineering (Mechanical)', 'Sales (Sales Engineer / Technical Sales)']",Sales & Marketing Engineer,General,Kwai Tsing District / Kwai Fong,Posting Date: 2020-09-10,--,--
,信興系統工程有限公司,Certificate,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'Engineering (Telecommunication / Wireless / Radio)']",技術員 (機械/電工/電訊),General,,Posting Date: 2020-09-10,--,2-3
"['', 'Birthday Leave', '', 'Medical Insurance']",World Wide Group環球集團,Below F.5,All Engineering,Trading,"['Engineering (Building / E&M)', 'Engineering (Electrical / Electronic)', 'Engineering (Others)']",技術員,,Northern District / Fanling,Posting Date: 2020-09-10,--,2
"['', 'Double Pay', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",APT Satellite Company Limited,Bachelor,All Engineering,Tele-communications,"['Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)', 'Fresh Graduate (Fresh Graduate)']",Assistant Operations Engineer (NOC),General,Tai Po District,Posting Date: 2020-09-10,--,--
"['', 'Bank Holiday', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",C M Wong & Associates Ltd,--,All Engineering,Building / Construction,"['Building / Architectural (Draftsman)', 'Engineering (Draftsman / CAD)', 'Building / Architectural (Civil / Structural)']",Draftsman / Junior Draftsman,General,,Posting Date: 2020-09-10,--,1-3
,啟龍發展有限公司,F.5 / HKCEE,All Engineering,Catering,"['Hospitality / Hotel (Duty Engineer / Technician)', 'Hospitality / Hotel (Others)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)']",酒店工程技工,General,Yau Tsim Mong District / JordanYau Tsim Mong District / Mong Kok,Posting Date: 2020-09-10,"$14,000 - $15,000",2
,啟龍發展有限公司,Below F.5,All Engineering,Catering,"['Hospitality / Hotel (Duty Engineer / Technician)', 'Hospitality / Hotel (Others)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)']",酒店工程雜工,General,Yau Tsim Mong District / JordanYau Tsim Mong District / Mong Kok,Posting Date: 2020-09-10,"$13,000 - $14,000",2
"['', 'Performance Bonus', '', 'Transportation Allowance']",Viva Machines Holding Limited,--,All Engineering,Machinery ,"['Engineering (Mechanical)', 'Engineering (Others)', 'Manufacturing (Others)', 'Others (Others)', 'Engineering (Electrical / Electronic)']",鑼床技工 / 裝嵌機器技工,General,Yuen Long District / Yuen Long,Posting Date: 2020-09-10,--,2
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work', '', 'Labour / Statutory Holiday', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Paternity Leave', '', 'Staff Discount']",San Miguel Brewery Limited,F.5 / HKCEE,All Engineering,Food & Beverage,"['Engineering (Electrical / Electronic)', 'Engineering (Industry / Manufacturing / Production)', 'Engineering (Mechanical)', 'Engineering (Others)', 'Manufacturing (Others)']",技術員 - 電工,Middle,Yuen Long District / Yuen Long,Posting Date: 2020-09-10,--,--
"['', 'Bank Holiday', '', 'Performance Bonus', '', 'Transportation Allowance', '', 'Travel Allowance']",Yeko Trading Ltd,Certificate,All Engineering,Trading,['Engineering (Industry / Manufacturing / Production)'],Project Engineer/Toys Engineer,Middle,Sham Shui Po District / Cheung Sha Wan,Posting Date: 2020-09-10,--,10-12
"['', 'Dental Insurance', '', 'Life Insurance', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Performance Bonus']",Modern Testing Services (Global) Limited,Associate Degree / Higher Diploma,All Engineering,Others,"['Engineering (Mechanical)', 'Sciences, Lab, R&D  (Laboratory)', 'Sciences, Lab, R&D  (Other)']",Technician,Middle,Sham Shui Po District / Lai Chi Kok,Posting Date: 2020-09-10,--,--
,CRIT SERVICES COMPANY LIMITED,Associate Degree / Higher Diploma,All Engineering,Logistics,"['Engineering (Electrical / Electronic)', 'Engineering (Others)', 'Fresh Graduate (Fresh Graduate)']",Printer Service Technician 影印機服務技術員,General,Eastern District / Tai KooHong Kong,Posting Date: 2020-09-10,--,2
"['', 'Double Pay']",Power Smart Engineering Limited,Diploma,All Engineering,Engineering / Electrical / Electronics,"['Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Surveying)', 'Engineering (Engineering Project Management)']",Project Co-ordinator,General,Kowloon City District / Hung Hom,Posting Date: 2020-09-10,--,--
"['', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Transportation Allowance', '', 'Travel Allowance']","MTECH Engineering Co., Limited",Diploma,All Engineering,Building / Construction,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'Engineering (Building / E&M)']",Senior BIM Engineer / Coordinator / Deputy BIM Manager,Middle,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-10,--,2 or above
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Engineering Project Management)', 'IT (Network & System)']",Assistant Engineer (ELV / Electronic Systems),Middle,,Posting Date: 2020-09-10,--,5 or above
,PCCW Solutions Limited,Associate Degree / Higher Diploma,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'IT (Application - Network)', 'IT (Network & System)']",Assistant Engineer Solution Specialist (Project Management) - Travel & Transportation Industry,Middle,,Posting Date: 2020-09-10,--,5 or above
,PCCW Solutions,Diploma,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Building / E&M)', 'Engineering (Others)', 'IT (Systems / Technical Support)', 'IT (Others)']",Senior Technical Officer / Technical Officer - Electric Low Voltage (Kowloon West Project),General,,Posting Date: 2020-09-10,--,2-3
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['Engineering (Others)', 'IT (Others)']",DevOps Engineer - Media Project,General,,Posting Date: 2020-09-10,--,1-2
,Man Lick Engineering and Trading Co. Ltd,Associate Degree / Higher Diploma,All Engineering,Engineering / Electrical / Electronics,"['Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Others)', 'Engineering (Mechanical)']",Engineer / Assistant Engineer,Middle,Shatin District,Posting Date: 2020-09-10,--,2
"['', 'Alternate Saturday', '', 'Meal Allowance', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Promotion']",Chun Wo Tunnel Management Limited,Certificate,All Engineering,Civil Service / Government,"['Engineering (Civil / Structural)', 'Engineering (Mechanical)', 'Engineering (Others)']",土木工程保養組長 (Maintenance Supervisor - Civil Engineering) ,Middle,Kowloon City District / Hung Hom,Posting Date: 2020-09-10,--,5 or above
"['', 'Performance Bonus']",Compo Money Exchange Company Limited 金寶找換有限公司,Bachelor,All Engineering,Banking / Finance / Securities / Investments,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (System Engineer / Network Engineer)', 'IT (Others)']",Software Engineer軟件工程師,General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-09,"$20,000 - $25,000",2
,"Ming Hing Waterworks Engineering Co., Ltd",F.5 / HKCEE,All Engineering,Building / Construction,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Building / E&M)']",Technical Apprentice,General,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-09,--,--
,"Ming Hing Waterworks Engineering Co., Ltd",Bachelor,All Engineering,Building / Construction,"['Engineering (Civil / Structural)', 'Engineering (Others)']",Graduate Engineer,General,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-09,--,0 - 1
,Shun Tak Property Management  Limited,Bachelor,All Engineering,Real Estate / Property Management,"['Property / Estate Management / Security (Property / Estate Management)', 'Property / Estate Management / Security (Others)', 'Engineering (Others)']",Technical Manager/ Assistant Technical Manager,Senior,Central & Western District / Sheung Wan,Posting Date: 2020-09-09,--,10-15
"['', 'Education Allowance', '', 'Gratuity', '', 'Marriage Leave', '', 'On-the-job training', '', 'Paternity Leave', '', 'Staff Discount']",Hong Kong Communications Company Limited,Certificate,All Engineering,Tele-communications,"['Engineering (Electrical / Electronic)', 'Engineering (Engineering Project Management)', 'IT (Systems / Technical Support)', 'IT (Network & System)', 'IT (Hardware)']",Technician (Electronic),General,Southern District / Wong Chuk Hang,Posting Date: 2020-09-09,--,1-3
,New Town Medical Group新都醫療,--,All Engineering,Hospital,"['Engineering (Chemical / Environmental Protection / Laboratory)', 'Hospital / Medical / Pharmaceutical (Others)']",Medical Laboratory Technologist,,Shatin District / ShatinTsuen Wan District / Tsuen WanTuen Mun District / Tuen MunYau Tsim Mong District / Tsim Sha TsuiYuen Long District / Tin Shui WaiYuen Long District / Yuen Long,Posting Date: 2020-09-09,--,--
"['', 'Performance Bonus']",Zhong Shan Engineering Consulting Limited 鍾山工程顧問有限公司,Diploma,All Engineering,Building / Construction,"['Building / Architectural (Project Management)', 'Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Architectural)', 'Engineering (Building / E&M)', 'Engineering (Engineering Project Management)']",Project Manager / Assistant Project Manager,Middle,,Posting Date: 2020-09-09,--,5
"['', 'Performance Bonus']",Zhong Shan Engineering Consulting Limited 鍾山工程顧問有限公司,Diploma,All Engineering,Building / Construction,"['Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Surveying)', 'Building / Architectural (Project Management)', 'Engineering (Engineering Project Management)', 'Engineering (Quality Assurance)']",Quantity Surveyor,Middle,,Posting Date: 2020-09-09,--,4 or above
"['', 'Performance Bonus']",Zhong Shan Engineering Consulting Limited 鍾山工程顧問有限公司,--,All Engineering,Building / Construction,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'Engineering (Building / E&M)', 'Engineering (Engineering Project Management)']",Project Coordinator / Site Foreman,General,,Posting Date: 2020-09-09,--,--
"['', 'Performance Bonus']",Zhong Shan Engineering Consulting Limited 鍾山工程顧問有限公司,Diploma,All Engineering,Building / Construction,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'Engineering (Building / E&M)', 'Engineering (Engineering Project Management)']",Assistant B.S. Engineer /Assistant B.S. Coordinator,General,,Posting Date: 2020-09-09,--,2
"['', 'Double Pay', '', 'Five-Day Work', '', 'Medical Insurance']",Teamway International Development Ltd.,Certificate,All Engineering,Design / Production House,"['Engineering (Electrical / Electronic)', 'Engineering (Others)', 'Engineering (Engineering Project Management)']",Electronic Project Coordinator,General,Kwun Tong District / Kowloon Bay,Posting Date: 2020-09-09,--,--
"['', 'Bank Holiday', '', 'Five-Day Work', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Year end bonus']",美泰樂科技(香港)有限公司,Below F.5,All Engineering,Manufacturing / Industrial,"['Engineering (Mechanical)', 'Engineering (Others)']",經驗維修員 (Ref. ME_202009),,,Posting Date: 2020-09-09,--,3 or above
"['', 'Bank Holiday', '', 'Double Pay', '', 'Life Insurance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Paternity Leave']",互持也香港有限公司,Certificate,All Engineering,Manufacturing / Industrial,"['Engineering (Industry / Manufacturing / Production)', 'Engineering (Mechanical)', 'Engineering (Electrical / Electronic)']",廠房及生產機械設備維修技術員 (須輪班當值),General,Tsuen Wan District / Tsuen Wan,Posting Date: 2020-09-09,--,3 or above
"['', 'Bank Holiday', '', 'Double Pay', '', 'Life Insurance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'Overtime Pay', '', 'Paternity Leave']",互持也香港有限公司,Certificate,All Engineering,Manufacturing / Industrial,"['Engineering (Industry / Manufacturing / Production)', 'Engineering (Mechanical)']",工程助理,General,Tsuen Wan District / Tsuen Wan,Posting Date: 2020-09-09,--,3 or above
"['', 'Medical Insurance']",The Wharney Guang Dong Hotel Hong Kong,Below F.5,All Engineering,Hotel / Hospitality,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Electrical / Electronic)', 'Engineering (Mechanical)']",當值工程師,General,,Posting Date: 2020-09-09,--,7
,Ming Tai Construction Engineering Co. Ltd.,Diploma,All Engineering,Building / Construction,"['Engineering (Building / E&M)', 'Design (Draftsman)', 'Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Draftsman)', 'Building / Architectural (Architectural)']",BIM Technician / Draftsman (REF: BIM),General,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-09,--,2
"['', 'Education Allowance', '', 'Medical Insurance', '', 'Performance Bonus']",Welcome Construction Company Limited,Associate Degree / Higher Diploma,All Engineering,Building / Construction,"['Engineering (Civil / Structural)', 'Engineering (Others)', 'Building / Architectural (Site Management)', 'Building / Architectural (Others)', 'Building / Architectural (Building / Construction / QS)']",SITE ENGINEER,Middle,,Posting Date: 2020-09-09,--,2-5
"['', 'Double Pay']",Fine Art Interior Design Limited,Diploma,All Engineering,Design / Production House,"['Building / Architectural (Building / Construction / QS)', 'Building / Architectural (Others)', 'Engineering (Engineering Project Management)']",Quantity Surveyor (fitting out),General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-09,--,3
"['', 'Education Allowance', '', 'Medical Insurance', '', 'Performance Bonus']",Welcome Construction Company Limited,Bachelor,All Engineering,Building / Construction,"['Building / Architectural (Civil / Structural)', 'Building / Architectural (Surveying)', 'Building / Architectural (Building / Construction / QS)', 'Engineering (Others)']",Independent Data Checker I (IDC I),Middle,,Posting Date: 2020-09-09,--,5 or above
"['', 'On-the-job training']",St Teresa's Hospital,Certificate,All Engineering,Hospital,"['Engineering (Electrical / Electronic)', 'Property / Estate Management / Security (Property / Estate Management)']",管工 / 技術員 (冷氣),General,Kowloon City District / Kowloon City,Posting Date: 2020-09-09,--,10-15
,CL Technical Services Ltd,--,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)']","Assistant Engineer / Engineer (ELV, Radio, Access Control)",General,Central & Western District,Posting Date: 2020-09-09,--,--
"['', 'Five-Day Work', '', 'Medical Insurance']",CL Technical Services Ltd,Certificate,All Engineering,Information Technology,"['Engineering (Engineering Project Management)', 'Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)']",Technical Officer (Cabling Systems / Data Network) 數據電纜技術員,General,Central & Western District / CentralSham Shui Po District / Lai Chi KokYau Tsim Mong District / Tsim Sha Tsui,Posting Date: 2020-09-09,--,1
,China State Construction Engineering (Hong Kong) Limited,Bachelor,All Engineering,Building / Construction,"['Engineering (Building / E&M)', 'Engineering (Others)', 'Building / Architectural (Others)', 'Management (Management)']",Assistant Safety Manager,Middle,,Posting Date: 2020-09-09,--,10 or above
"['', 'Double Pay', '', 'Education Allowance', '', 'Medical Insurance', '', 'Performance Bonus']",China State Construction Engineering (Hong Kong) Limited ,Bachelor,All Engineering,Building / Construction,"['Engineering (Engineering Project Management)', 'Building / Architectural (Project Management)', 'Building / Architectural (Others)']",Project Manager / Assistant Project Manager - Building,Senior,,Posting Date: 2020-09-09,--,10 or above
"['', 'Flexible Working Hours', '', 'Performance Bonus']",First Group Holdings Limited,Associate Degree / Higher Diploma,All Engineering,Real Estate / Property Management,"['Building / Architectural (Architectural)', 'Engineering (Engineering Project Management)', 'Building / Architectural (Others)']",Project Coordinator / Project Manager (E&M),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-09,--,--
"['', 'Flexible Working Hours', '', 'Performance Bonus']",First Group Holdings Limited,Associate Degree / Higher Diploma,All Engineering,Real Estate / Property Management,"['Building / Architectural (Architectural)', 'Engineering (Engineering Project Management)', 'Building / Architectural (Others)']",Project Coordinator / Project Manager (Building Surveying),Middle,Kwun Tong District / Kwun Tong,Posting Date: 2020-09-09,--,--
"['', 'Performance Bonus']",Compo Money Exchange Company Limited 金寶找換有限公司,Bachelor,All Engineering,Banking / Finance / Securities / Investments,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (System Engineer / Network Engineer)', 'IT (Others)']",Software Engineer軟件工程師,General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-09,"$20,000 - $25,000",2
"['', 'Flexible Working Hours', '', 'Medical Insurance', '', 'Performance Bonus']",First Group Holdings Limited,Bachelor,All Engineering,Real Estate / Property Management,"['Building / Architectural (Building / Construction / QS)', 'Engineering (Civil / Structural)', 'Engineering (Engineering Project Management)']",Resident Engineer,Middle,Kwun Tong District / Ngau Tau Kok,Posting Date: 2020-09-09,--,5
,China State Construction Engineering (Hong Kong) Limited,Diploma,All Engineering,Building / Construction,"['Engineering (Building / E&M)', 'Engineering (Others)', 'Building / Architectural (Others)']",Safety Officer / Assistant Safety Officer,Middle,,Posting Date: 2020-09-09,--,2 or above
,China State Construction Engineering (Hong Kong) Ltd.,Bachelor,All Engineering,Building / Construction,"['Building / Architectural (Architectural)', 'Building / Architectural (Draftsman)', 'Building / Architectural (Others)', 'Engineering (Others)']",Senior BIM Engineer / BIM Engineer,Middle,Hong Kong,Posting Date: 2020-09-09,--,3
,,,All Engineering,,,,,,,,
,BENCHMARK CONSULTING ENGINEERS LTD,Associate Degree / Higher Diploma,All Engineering,Building / Construction,"['Engineering (Electrical / Electronic)', 'Engineering (Building / E&M)', 'Engineering (Others)', 'Building / Architectural (Others)']",Assistant Building Services Engineer (Electrical),General,,Posting Date: 2020-09-09,--,2
"['', 'Bank Holiday', '', 'Five-Day Work']",,--,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Mechanical)', 'Engineering (Electrical / Electronic)', 'Engineering (Industry / Manufacturing / Production)', 'Fresh Graduate (Fresh Graduate)', 'Engineering (Draftsman / CAD)']",Project Engineer / Assistant Project Engineer,General,Hong Kong,Posting Date: 2020-09-09,--,--
"['', 'Bank Holiday', '', 'Double Pay', '', 'Five-Day Work']",,--,All Engineering,Wholesale & Retail,"['Engineering (Building / E&M)', 'Manufacturing (Manufacturing Management)', 'Engineering (Industry / Manufacturing / Production)', 'Sales (Sales Engineer / Technical Sales)', 'Sales (Sales Management)']",Senior Sales Engineer / Sales Engineer,Middle,Hong Kong,Posting Date: 2020-09-09,--,--
,,,All Engineering,,,,,,,,
,,,All Engineering,,,,,,,,
,,,All Engineering,,,,,,,,
"['', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Performance Bonus']",Flat Inspection Limited,--,All Engineering,"Quality, Industrial Testing & Inspection Service","['Engineering (Building / E&M)', 'Engineering (Quality Assurance)', 'Property / Estate Management / Security (Others)']",驗樓員,General,Hong Kong / Hong Kong,Posting Date: 2020-09-09,--,2 or above
"['', 'Education Allowance', '', 'Medical Insurance', '', 'Performance Bonus']",Welcome Construction Company Limited,Bachelor,All Engineering,Building / Construction,"['Building / Architectural (Civil / Structural)', 'Building / Architectural (Surveying)', 'Building / Architectural (Building / Construction / QS)', 'Engineering (Others)']",Independent Data Checker II (IDC II),General,,Posting Date: 2020-09-09,--,2 or above
"['', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Travel Allowance']",Microdia Semiconductor Limited,Bachelor,All Engineering,Information Technology,"['Quality Assurance / Control & Testing (QA)', 'Engineering (Electrical / Electronic)', 'Logistics / Transportation / Shipping (Logistics)']",Electronic Quality Assurance Engineer / QA Inspector (2 Openings),Middle,Kwun Tong District / Kowloon BayShatin District / Shatin,Posting Date: 2020-09-09,--,5
"['', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus', '', 'Travel Allowance']",Microdia Semiconductor Limited,Bachelor,All Engineering,Information Technology,"['Engineering (Mechanical)', 'Manufacturing (Manufacturing Management)', 'Manufacturing (Others)']",Operations Officer / Operations Supervisor / Operations Manager,General,Kwun Tong District / Kowloon BayShatin District / Shatin,Posting Date: 2020-09-09,--,3
"['', 'Bonus for a recruit / new joiner', '', 'Education Allowance', '', 'Life Insurance', '', 'Medical Insurance', '', 'Paternity Leave', '', 'Performance Bonus', '', 'Year end bonus']",Hang Lung Properties恒隆地產,--,All Engineering,Real Estate / Property Management,"['Property / Estate Management / Security (Others)', 'Engineering (Electrical / Electronic)', 'Engineering (Others)']",維修技工 **,General,Wanchai District / Causeway Bay,Posting Date: 2020-09-09,"$22,000 - $23,000",--
"['', 'Bank Holiday']",,--,All Engineering,Building / Construction,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)']",維修技工 ,General,,Posting Date: 2020-09-09,--,--
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Medical Insurance', '', 'Year end bonus']",Techwide Engineering Limited,Associate Degree / Higher Diploma,All Engineering,Engineering / Electrical / Electronics,"['Sales (Sales Engineer / Technical Sales)', 'Sales (General Sales)', 'Engineering (Chemical / Environmental Protection / Laboratory)', 'Engineering (Others)', 'Fresh Graduate (Fresh Graduate)']",Sales & Technical Engineer,General,,Posting Date: 2020-09-09,--,1
,Chematco Limited,Certificate,All Engineering,Trading,"['Engineering (Mechanical)', 'Engineering (Others)']",Technical Trainee,General,Yuen Long District / Yuen Long,Posting Date: 2020-09-09,--,1
"['', 'Five-Day Work', '', 'Performance Bonus']",Chematco Limited,Certificate,All Engineering,Trading,"['Engineering (Mechanical)', 'Engineering (Others)']",Technician,General,Yuen Long District / Yuen Long,Posting Date: 2020-09-09,--,1
"['', 'Five-Day Work', '', 'Performance Bonus']",Chematco Limited,--,All Engineering,Trading,"['Engineering (Mechanical)', 'Engineering (Others)']",Engineering Technician,General,Yuen Long District,Posting Date: 2020-09-09,--,--
"['', 'Five-Day Work', '', 'Performance Bonus']",Chematco Limited,Diploma,All Engineering,Trading,"['Sales (Sales Engineer / Technical Sales)', 'Sales (General Sales)', 'Engineering (Others)', 'Building / Architectural (Others)']",Sales Engineer,General,Yuen Long District,Posting Date: 2020-09-09,--,3
"['', 'Life Insurance', '', 'Medical Insurance']",Wing Mau Products Development Ltd,Associate Degree / Higher Diploma,All Engineering,Toys,"['Engineering (Engineering Project Management)', 'Engineering (Others)', 'Manufacturing (Production Planning / QC)']",Project Manager,Middle,China / Dongguan   (Guangdong-Hong Kong-Macao Bay Area)China / Guangdong-Hong Kong-Macao Bay Area,Posting Date: 2020-09-09,--,5
"['', 'Medical Insurance', '', 'Performance Bonus']",Concord Solutions (HK) Limited,Certificate,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Engineering Project Management)', 'Building / Architectural (Others)', 'Fresh Graduate (Fresh Graduate)']",Maintenance Technician 維修保養技術員 (輪班),General,,Posting Date: 2020-09-09,--,2
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['IT (Systems / Technical Support)', 'IT (Network & System)', 'Engineering (Electrical / Electronic)', 'Engineering (Others)']",Senior Technical Officer / Technical Officer- Aviation,General,,Posting Date: 2020-09-09,--,1
,PCCW Solutions,Certificate,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'Engineering (Others)', 'IT (Systems / Technical Support)', 'IT (Others)']",Senior Technical Officer / Technical Officer - Radio Operations,General,,Posting Date: 2020-09-09,--,1
"['', 'Performance Bonus']",Compo Money Exchange Company Limited 金寶找換有限公司,Bachelor,All Engineering,Banking / Finance / Securities / Investments,"['IT (Software / Web Developer)', 'IT (Application - Software)', 'IT (System Engineer / Network Engineer)', 'IT (Others)']",Software Engineer軟件工程師,General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-09,"$20,000 - $25,000",2
,PCCW Solutions,Associate Degree / Higher Diploma,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Others)', 'IT (Systems / Technical Support)', 'IT (Others)']",Senior Technical Officer / Technical Officer - Marine Services Unit,General,,Posting Date: 2020-09-09,--,3
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['IT (Systems / Technical Support)', 'IT (System Administrator)', 'IT (Network & System)', 'IT (Others)', 'Engineering (Others)']",Assistant Database Administrator - Urgent!,General,,Posting Date: 2020-09-09,--,1-2
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['IT (IT Project Management / Team Lead)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",Senior Project Manager / Project Manager (Macau based),Senior,China / Guangdong-Hong Kong-Macao Bay AreaMacau,Posting Date: 2020-09-09,--,8
,PCCW Solutions,Diploma,All Engineering,Information Technology,"['Engineering (Electrical / Electronic)', 'Engineering (Telecommunication / Wireless / Radio)', 'IT (Network & System)', 'IT (IT Project Management / Team Lead)', 'IT (Systems / Technical Support)']",Site Engineer (Macau based),General,China / Guangdong-Hong Kong-Macao Bay AreaMacau,Posting Date: 2020-09-09,--,3
,PCCW Solutions,Bachelor,All Engineering,Information Technology,"['IT (System Engineer / Network Engineer)', 'IT (IT Project Management / Team Lead)', 'IT (Network & System)', 'IT (Others)', 'Engineering (Electrical / Electronic)']",System Engineer / Project Engineer (Macau based),Middle,China / Guangdong-Hong Kong-Macao Bay AreaMacau,Posting Date: 2020-09-09,--,5
,Sign House Co Ltd,DSE ,All Engineering,Others,"['Engineering (Engineering Project Management)', 'Building / Architectural (Others)', 'Engineering (Others)']",Project Co-ordinator,General,,Posting Date: 2020-09-09,--,1-3
"['', 'Double Pay', '', 'Overtime Pay', '', 'Transportation Allowance']",嘉利工程貿易有限公司,F.5 / HKCEE,All Engineering,Engineering / Electrical / Electronics,"['Engineering (Electrical / Electronic)', 'Engineering (Mechanical)', 'Engineering (Others)']",消防保養電工,General,Hong Kong / Hong Kong IslandKowloon,Posting Date: 2020-09-09,"$15,000 - $20,000",1
"['', 'Double Pay']",嘉利工程貿易有限公司,F.5 / HKCEE,All Engineering,Engineering / Electrical / Electronics,"['Administration / Secretary (Clerical / Admin Staff)', 'Administration / Secretary (Others)', 'Engineering (Others)']",工程文員,General,Yuen Long District / Yuen Long,Posting Date: 2020-09-09,"$12,000 - $14,000",1
"['', 'Alternative Retirement Scheme', '', 'Birthday Gift', '', 'Bonus for a recruit / new joiner', '', 'Education Allowance', '', 'Free Shuttle Bus', '', 'Labour / Statutory Holiday', '', 'Meal Allowance', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Performance Bonus', '', 'Promotion']",Chun Wo Tunnel Management Limited,--,All Engineering,Civil Service / Government,"['Engineering (Building / E&M)', 'Engineering (Electrical / Electronic)', 'Engineering (Others)']",助理維修技術組長 (電機 ),General,Kowloon City District / Hung Hom,Posting Date: 2020-09-09,--,5-10
