Benefits,Company,Education,Industry,Industry_label,Job_function,Job_title,Level,Location,Posting_date,Salary,Work_exp
,Money Concepts (Asia) Holdings Ltd,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Business Development)', 'Insurance (Insurance / Broker)']",Financial Planner,General,Hong Kong / Hong Kong Island,Posting Date: 2020-09-08,"$10,000 or above",--
,Money Concepts (Asia) Holdings Ltd,Associate Degree / Higher Diploma,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Business Development)', 'Insurance (Insurance / Broker)']",Sales Director,General,Hong Kong / Hong Kong Island,Posting Date: 2020-09-08,"$10,000 or above",--
"['', 'Bank Holiday', '', 'Commission', '', 'Five-Day Work', '', 'Flexible Working Hours', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion']",AIA International Limited,Bachelor,All Banking / Finance / Securities,Insurance,"['Banking / Finance / Securities (Financial Services)', 'Insurance (Insurance / Broker)', 'Banking / Finance / Securities (Investment)', 'Others (Others)']",Wealth Management Manager財富管理經理精英招募（年薪可達80萬或以上，歡迎轉行業人士及優秀畢業生）,General,Eastern District / North Point,Posting Date: 2020-09-08,--,--
"['', 'Dental Insurance', '', 'Five-Day Work', '', 'Life Insurance', '', 'Medical Insurance', '', 'Performance Bonus']",Everbright Sun Hung Kai Company Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Marketing / Public Relations (Brand / Product Management)', 'Insurance (Policy Administration)', 'Insurance (Others)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Financial Services)']","Associate, Product Development & Retail Research (Insurance & MPF)",Middle,Kwai Tsing DistrictWanchai District / Causeway Bay,Posting Date: 2020-09-08,--,2-4
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Promotion', '', 'Year end bonus']",匯駿財務有限公司Union Finance (HK) Company Limited,Below F.5,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Order Processing & Operation / Settlement)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)', 'Banking / Finance / Securities (Financial Services)']",分行文員 Loan Clerk (旺角區 / 灣仔區),General,Wanchai District / Wan ChaiYau Tsim Mong District / Mong KokYuen Long District / Yuen Long,Posting Date: 2020-09-08,"$11,000 - $13,000",--
,SmartBLKTrade Limited (SBT),Bachelor,All Banking / Finance / Securities,Trading,"['Sales (Business Development)', 'Marketing / Public Relations (Marketing - Market Research)', 'Engineering (Others)', 'Banking / Finance / Securities (Others)', 'Fresh Graduate (Fresh Graduate)']",Business Development Officer,General,,Posting Date: 2020-09-08,--,--
"['', 'Bank Holiday', '', 'Birthday Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Overtime Pay', '', 'Promotion', '', 'Year end bonus']",I-Access Group Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Customer Service (Customer Service)', 'Sales (Sales Administration)', 'Fresh Graduate (Fresh Graduate)', 'Banking / Finance / Securities (Retail Banking)', 'Administration / Secretary (Clerical / Admin Staff)']",Client Relationship Officer ,General,Shatin District / ShatinWanchai District / Causeway BayYau Tsim Mong DistrictYau Tsim Mong District / Mong Kok,Posting Date: 2020-09-08,--,--
"['', 'Five-Day Work', '', 'Medical Insurance']",I-Access Group Limited,Bachelor,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Investment)', 'Banking / Finance / Securities (Financial Services)', 'Banking / Finance / Securities (Others)', 'Fresh Graduate (Fresh Graduate)']",Trader,General,Yau Tsim Mong District / Yau Ma Tei,Posting Date: 2020-09-08,--,--
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Birthday Leave', '', 'Education Allowance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Paternity Leave', '', 'Promotion', '', 'Year end bonus']",Ego Finance Limited (及時雨信貸有限公司),F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Others)']",Loan Clerk – Personal Loan Dept (貸款文員 – 私人貸款部),General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-08,--,1
"['', 'Alternate Saturday', '', 'Bank Holiday', '', 'Birthday Leave', '', 'Education Allowance', '', 'Marriage Leave', '', 'Medical Insurance', '', 'On-the-job training', '', 'Paternity Leave', '', 'Promotion', '', 'Year end bonus']",Ego Finance Limited (及時雨信貸有限公司),F.5 / HKCEE,All Banking / Finance / Securities,Banking / Finance / Securities / Investments,"['Banking / Finance / Securities (Loan)', 'Banking / Finance / Securities (Mortgage)', 'Banking / Finance / Securities (Others)']",Loan Clerk – Mortgage Dept. (貸款文員-樓按部),General,Yau Tsim Mong District / Mong Kok,Posting Date: 2020-09-08,--,2
